distance_errors,x_errors,y_errors
6.260965061230721,5.944451212054984,0.9328447170664853
6.2837570344297555,5.972406065043726,0.9268136185676139
6.336987626492669,6.022850109725273,0.9215087152120421
6.3879592771746365,6.082339864027578,0.917651663123835
6.420879568401951,6.119389020048794,0.9130760821998093
6.45712824397549,6.151978148924448,0.9086728617744578
6.499220839168027,6.201057699041253,0.9048545695779339
6.536328105263263,6.242691978982104,0.9019541388114117
6.5730472708744525,6.2753945897239465,0.8984778182489208
6.611195268880351,6.320066623683317,0.8959416420203871
6.645465010542767,6.358754533715155,0.8929298933600636
6.6683091625568665,6.376696614090955,0.8925553983200463
6.714798582126194,6.4363641597490995,0.8904634819864962
6.7498639087299495,6.475070005909234,0.8881645104613043
6.768055761408888,6.49128294746704,0.8841010874803482
6.812279573958652,6.540420789689405,0.8813225685384006
